min_af,min_dp,min_qual,require_gt,miner_n,tp,fp,fn,precision,recall,f1,gt_match,gt_total
0.1,25,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,25,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,30,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.15,0,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
